향수_이름,향수_설명,향수_name
아쿠아 디 파르마 피코 디 아말피,지중해의 푸른 바다 옆에서 자라난 무화과 나무의 향기입니다.,Acqua di Parma Fico di Amalfi
아쿠아 디 파르마 아란치아 디 카프리,잘 익은 귤을 까고 있는 듯한 느낌이 드는 향기입니다.,Acqua di Parma Arancia di Capri
퍼퓸드말리 페미닌 델리나,완전 공주님 향 같아요. 풍성한 핑크빛 꽃다발에다가 달달한 리치 과즙을 뿌린듯한 향기입니다.,Parfums de Marly Feminine Delina
메모 파리 프렌치 레더,부드러운 스웨이드로 감싼 장미꽃 향기입니다.,Memo Paris French Leather
메모 파리 마르파,튜베로즈의 볼륨있는 화이트 플로럴 향과 바닐라 향이 만나서 몽환적인 이미지를 만들어주는 향입니다.,Memo Paris Marfa
메모 파리 아이리시 레더,"마치 푸른 초원을 달리는 야생마가 떠오르는 향이예요. 생기있는 그리너리함과 마테차향, 그리고 이국적인 레더향이 어우러진 향수입니다.",Memo Paris Irish Leather
메모 파리 아프리칸 레더,아프리카의 화려하고 존재감이 뚜렷한 향신료와 그윽한 우디향이 만난 레더 향기입니다.,Memo Paris African Leather
엑스니힐로 상탈 콜링,나무 둥치에 앉아서 우유를 섞은 식물 차를 마시는 듯한 기분이 드는 너무 편안한 우디향입니다.,Ex Nihilo Santal Calling
엑스니힐로 시티즌X,고급스러운 호텔 옥상에서 드레스업하고 있을 때 뿌리고 싶은 씁쓸하면서도 포근한 파우더리한 향입니다.,Ex Nihilo Citizen X
엑스니힐로 더 헤도니스트,개척되지 않은 땅을 모험하는 기분이 드는 풀과 우디 그리고 머스크향이 한데 어우러집니다.,Ex Nihilo The Hedonist
엑스니힐로 골드 이모탈스,달콤한 엠버향이 섞인 플로럴향이라서 뿌리는 것만으로도 당 충전되는 기분이 물씬 듭니다.,Ex Nihilo Gold Immortals
엑스니힐로 아웃캐스트 블루,대담한 이미지를 연출하기 좋은 토바코와 스파이시한 향기가 어우러진 노트입니다.,Ex Nihilo Outcast Blue
엑스니힐로 플뢰르 나르코티끄,수줍으면서도 관능적인 꽃향기를 원한다면 아주 제격인 향수입니다.,Ex Nihilo Fleur Narcotique
엑스니힐로 아이리스 포르셀라나,몽글몽글한 머스크 향과 우아한 아이리스 꽃향기가 어우러진 향기입니다.,Ex Nihilo Iris Porcelana
엑스니힐로 러스트 인 파라다이스,입문자들도 즐길 수 있는 대중적이고 예쁜 프루티 플로럴 향이다.,Ex Nihilo Rust in Paradise
엑스니힐로 콜론 352,깔끔하고 개운한 스킨향을 부담스럽지 않게 표현한 산뜻한 향입니다.,Ex Nihilo Cologne 352
엑스니힐로 엑스플리시트,꽃다발을 달달한 초콜릿에 푹 찍은 것 같은 향에 은은한 샌달우드가 섞여 기분 좋은 향입니다.,Ex Nihilo Explicit
빌리 아일리시 향수 아이리시 넘버 2,"이 향수는 다크하고 묵직한 우디향으로 다가왔어요. 향이 느껴지기에, 동남아에 놀러갔을 때 우기에 가서 어둑한 분위기 속에서 마사지를 받으려고 차분하고 럭셔리한 스파에 가서 향긋한 나무냄새와 아로마 냄새 맡으며 대기하고 있는데 옆에서 직원이 팔로산토를 태우고 있어서 한층 더 마음이 릴렉싱 되는 상황이 연출되는 느낌이었습니다. 묵직한 우디의 중성적인 향이 느껴지며, 블랙 페퍼와 매혹적인 양귀비꽃, 사과꽃 향기가 나는데요. 인센스와 파피루스 향이 이국적인 무드로 피어납니다. 발리가 떠오르는데 해변 말고 요가하고 명상하는 숲 지역, 스파 샵의 느낌에 더 어우러진다고 생각해요. 스모키한 우디 향이 중후하게 퍼지고 에보니 스킨 머스크 향까지 더해져서 전체적으로 대담하고 깊은 향을 완성시켜 줍니다. 향이 되게 트렌디 해요.",Billie Eilish Eilish No. 2
알보우 몬순,"이 향수는 새벽의 이슬이 맺힌 산책로의 향을 표현한 향수입니다. 이슬이 많이 맺혀 있는 꽃밭을 걷고 있는 듯한 느낌을 연상케 하는 향이에요. 올망졸망 피어 있는 여러 가지 꽃들의 향기와 촉촉한 물기가 있고, 달콤한 과일향이 납니다. 어스름하고 안개낀 아침의 느낌보다는 밝고 맑고 달콤하고 선명한 꽃 향기가 납니다. 처음 뿌렸을 때는 물기 많은 과일의 스윗함이 확 퍼지며, 은방울꽃, 자스민, 프리지아 같은 깨끗한 하얀색 꽃 향기들이 풍부하게 납니다. 작은 식물들과 풀들의 향도 언뜻나는 것 같아요.",Albow Monsoon
클린 리저브 레인,"비가 그친 숲속에 차분하고 잔잔한 향을 묘사하고 있어요. 상큼한 시트러스 향으로 시작해서 워터리한 풀향과 꽃향으로 이어지는데, 숲속에서 비를 맞고 나서 오이비누나 물비누로 샤워를 하고 있을 때 날 것 같은 향입니다. 깨끗하고 아쿠아틱한 향에다 약간의 숲과 비의 바이브를 첨가한 느낌이에요. 깔끔하고 캐주얼하고 중성적이어서 헐렁한 티셔츠에 모자 쓰고 별로 안 꾸몄을 때도 잘 어울리는 향입니다.",Clean Reserve Rain
센녹 애프터 베스,"이 향은 첫 향에서는 약간 쨍한 시트러스-허브향이 있지만, 방금 씻고 나온 히노키 탕에서 나는 비누 수증기 향이에요. 마치 안개처럼 아련하게 슬쩍슬쩍 느껴지는 순수한 향입니다.",Senok After Bath
27 87 제네틱 블리스,"살 냄새가 나면서 중성적인 우디향이 이렇게 싹 깔려져 있거든요. 머스키함, 앰버리함, 약간의 파우더리함, 약간의 부드러운 텍스처가 공존하는게 느껴져요. 약간 투명한 느낌이 있어요. 되게 미니멀한데 되게 폭발적이에요. 이 대조적인 느낌이 같이 공존을 하고 있다는게 이 향수의 개성이라고 말할 수 있는 부분이라고 생각이 듭니다.",27 87 Genetic Bliss
올팩티브 스튜디오 오토 포트레이트,"고요하고 정막한 가운데 내가 홀로 있는듯한 느낌을 딱 받을 수 있는 그런 비주얼이 있는데, 내 내면에 좀 집중해 보는듯한 그런 분위기를 연출하고 있다고 생각이 들었어요. 이 향을 딱 맡았을 때 그때 경험이 딱 떠오르면서 내가 조금 정화되는듯한 느낌이 들더라고요. 동이 트는 무렵, 이제 막 해가 지려고 하는 무렵에 산이나 숲에서 요가를 하는데 그때 피는 인센스 향이나 자연 속의 나무 향도 나는 것 같아요. 약간 어둑어둑하지만 칙칙하지는 않은 바이브가 연출되는데 심장이 편안하게 가라앉는 느낌입니다. 향기가 참 고요해요.",Olfactory Studio Autoportrait
올팩티브 스튜디오 플래시백,"신선한 루바브로 만든 에이드 느낌이에요. 그 에이드에 막 상큼한 시트러스 과일도 넣고 뭔가 초록초록한 식물이나 허브 같은 것도 총총 넣어 가지고 자연식으로 만든 에이드가 있다면 요런 향일 것 같은데, 약간 깨끗한 바이브가 있어요. 이 향이 내 몸에 났으면 좋겠다고 생각되는 향이예요. 맨 처음 맡았을 때는 되게 프루티하고 느꼈었어요. 향이 되게 조용하고 편안한 느낌이예요. 내 시그니처 향으로 삼기에도 적절한 웨어러블한 데일리 향수가 되기에 적합해 보여요!",Olfactory Studio Flashback
밀러 에 베르토 멘타 이 멘타,"햇살 좋은 오후에 예쁜 브런치 가게에 갔어, 민트티를 한 잔 주문했는데 민트 티가 엄청 뜨겁지도 않고 살짝 시원한 그 정도의 느낌이에요. 되게 따사로운 햇살을 받은 민트 같은 느낌이에요. 민트향에 커피향이 같이 블랜딩이 됐고, 추가적으로 자스민 향 어 그니까 좀 따뜻한 기운을 줄 수 있는 그런 노트들이 민트와 함께 블렌딩이 돼 있다 보니까 향 자체에도 굉장히 독보적이고 독특하고 그러면서 민트향 향수 중에서도 혼자만 좀 결이 다른 다정하고 온화한 민트 향이야라고 답변 할 수 있지 않을까 생각이 듭니다.",Miller et Bertaux Menta I Menta
로진느 로즈 그리오트,체리향이 새침한데 착한 느낌의 체리 향이에요. 향수 안 뿌린 척 하기 너무 좋은 향인 것 같아요. 특히 방금 씻고 온 것 같다는 호드백을 많이 들었어요. 누구나 아는 좋은 향은 아닌데 정말 좋은 느낌이에요. 기존에 우리가 알던 체리 향들과 달리 조금 더 가볍고 조금 더 새콤한 느낌의 체리를 느낄 수가 있고요. 평소에 프루티를 안 좋아하시는 분들이라도 약간 호감을 가질 수 있을 정도로 되게 깨끗하고 마일드하게 전개가 되는 향이라고 생각이 듭니다.,Rosine Rose Griotte
바이레도 믹스드 이모션,"이 향수를 뿌리고 딱 처음 든 생각은 되게 쓰고 매캐한 하고 깨끗하지 않고 험한 향이거든요. 향수 자체가 쉽지 않은 향이기도하고, 종이에 불이 붙는 냄새가 나요. 좁은 방 안에서 기계가 오래 가동해서 나는 냄새 같기도 해요. 호불호가 좀 갈릴 것 같아요. 불타는 종이 냄새 사이에 달콤한 과일향이 느껴졌어요. 되게 잘 익은 베리 냄새같이 느껴졌어요. 잿더미 사이의 탐스러운 베리가 떠오르는 느낌?",Byredo Mixed Emotions
자라 조말론 보헤미안 블루벨,"알싸하면서도 신선한 허브 향이 확 나요. 아주 화한 허브향이 확 퍼지는데요, 화한 허브향이라고 생각될 만큼 강력하고도 농축된 라벤더 향이 납니다. 꿀물 냄새도 같이 느껴집니다. 향수를 뿌리 직후에는 허브 향이 좀 강하게 느껴지는데 뿌리고 나서 시간이 지나면 달달한 향이 더 많이 강하게 느껴지더라구요. 사실 약간.. 호랑이 연고 냄새 같기도 해요.",Zara Jo Malone Bohemian Bluebell
자라 조말론 플뢰르 드 패츌리,가볍고 맑은 느낌의 패츌리 향입니다. 예쁜 핑크빛이 연상되는 달달한 꽃향기랑 시원한 스킨향이 느껴졌고요 백화점 1층냄새도 느껴졌어요. 전반적으로 아주 무난하고 고상한 플로럴 향이긴 한데 엄청 끌리진 않았어요. 여기저기서 맡아본 적이 있는 듯한 향이었어요.,Zara Jo Malone Fleur de Patchouli
자라 조말론 워터 릴리 티 드레스,아주 깨끗한 시트러스와 물을 머금은듯한 꽃향기가 함께 느껴지는 싱그러운 향이에요. 근데 이 시트러스향이 다소 레몬향 손소독제 같은 냄새가 나긴 해요. 꽃향기가 아주 워터리 합니다. 그래서인지 풀 비린내도 같이 느껴졌어요. 무난하고 대중적인 것 같습니다. 계곡 바로 옆에 있는 잔디밭에 앉아서 들꽃을 바라보고 있는듯한 향처럼 느껴졌습니다.,Zara Jo Malone Waterlily Tea Dress
자라 조말론 아말피 선레이,귤껍질을 처음에 땄을 때 나는 향기입니다. 군더더기 없이 시원하고 상큼한 귤 혹은 오렌지 그 자체의 향기예요. 사실 이게 좀 단순한 향이긴 합니다만 인위적인 느낌이 없고 매우 가볍기 때문에 여름에 사용하면 너무 잘 어울릴것 같은 향수 라는 생각이 들었어요. ,Zara Jo Malone Amalfi Sunray
자라 조말론 에보니 우드,원목 테이블에 쌍화차 조금과 바닐라 라떼 한 컵을 쏟고 스며든 냄새가 나요. 끈적한 달달함이 지배적인 우디향이라고 보시면 될 것 같습니다.,Zara Jo Malone Ebony Wood
자라 조말론 튜베로즈 느와,약간 스모키하면서도 화이트 플라워 특유의 꾸리꾸리함이 느껴졌어요. 편안하고 단정한 튜베로즈 향입니다.,Zara Jo Malone Tuberose Noir
자라 조말론 베티버 팜플무스,아이스크림 생귤탱귤 향이예요! 엄청 상큼하고 시원한 오렌지 향에다가 톡 쏘는 자몽향도 살짝 섞인 듯한 향이에요. 오렌지맛 아이스크림이나 자몽향 탄산음료가 떠오르는 깨발랄한 시트러스 향입니다. 더위와 불쾌감을 날려줄 것 같은 상큼한 향이예요!,Zara Jo Malone Vetiver Pampelune
자라 조말론 플레르 도랑제,저는 이 향을 오렌지 추출물과 흰꽃으로 만든 비누에서 날법한 향이라고 생각이 들어요.,Zara Jo Malone Fleur d'Oranger
이솝 에레미아,자연적인 정원이 떠오르는 향이었습니다. 가드닝을 하다가 실수로 흙이랑 풀을 먹은 듯한 기분이 드는 향이에요. 뿌리 식물이나 씁쓸한 나물 같은 것을 생으로 먹었을 때 나는 알싸함과 흙냄새가 많이 납니다. 그리고 거기에 약간의 자몽과 유자가 더해져서 상큼함이 살짝 숨어 있어요.,Aesop Eremia
이솝 미라세티,"처음에는 약초 더미가 떠오르는 스파이시한 향이 확 나고 짭조름한 바다의 짠내가 함께 느껴집니다. 돌과 바위가 많은 장엄한 바다의 분위기입니다. 오크통 안에서 숙성되고 있는 위스키 향이 나는데, 술냄새 보다는 우디 향이 더 많이 나요. 낯선 나라에 바닷가를 걷다가 오래된 술 저장고를 발견했다고 상상해보세요. 위스키가 들어있던 낡은 오크통에는 소금기가 베여있고 어둑한 공간 너머 불 피우는듯한 향기였습니다. 전반적으로 바다내음이 분명히 느껴졌습니다. 비릿한 느낌을 별로 없지만 스모키한 향 덕분에 고소한 느낌의 스파이시 우디 향이라고 느껴집니다. 저는 영화 라이프 오브 파이가 생각 났는데요, 끝없이 펼쳐진 수평선을 고독하게 탐험하는 신비로운 이미지가 느껴지는 향수랍니다.",Aesop Miraceti
이솝 카르스트,"청량한 물 향이 나는 향수입니다. 산 꼭대기의 깨끗한 호수가 떠오르는 향일까요. 로즈마리 등의 허브 향도 매력적입니다. 뿌리자마자 마린 향이 나기 때문에 첫 향이 남자향수처럼 느껴질 수도 있을 것 같습니다. 첫 향은 프레시 하지만, 잔향은 포근하고 소프트하게 마무리 됩니다.",Aesop Karst
이솝 마라케시,"중동의 어느 나라에 있는 형형색색 강렬한 색감으로 가득 찬 상점을 상상해 보세요. 중동 특유의 이국적인 향이 후각을 자극 할 것이고, 무질서한 듯 질서있게 진열된 쿰쿰한듯한 중동의 오브제들과 후각을 얼얼할 정도의 이국적인 향신료 향이 함께 나는 매혹적인 향입니다. 모로코의 향신료 시장에 온 듯한 매혹적인 향 같기도 합니다.",Aesop Marrakech
이솝 테싯,"처음에는 여러 가지 풀과 나무 꽃들이 뒤섞여 있는 자연의 냄새가 납니다. 사람이 잘 관리하고 있는 대형 온실에 들어온 듯한 향입니다. 유자의 톡쏘는 냄새도 나는데요, 이때 나는 유자 향은 우리가 흔히 먹는 달달한 유자차의 향과는 거리가 멀다고 느껴집니다. 바질 향이 많이 섞인, 푸릇푸릇하고 허브향에 가까운 유자향에 가깝죠. 시간이 더 지나면 차분한 나무 냄새만 남습니다. 첫향과 잔향이 드라마틱하게 다른 편입니다.",Aesop Tacit
이솝 휠,"'깊은 숲속의 향', '사찰의 나무향' 등으로 알려져 있는 향수입니다. 숲에는 나무 뿐만 아니라 풀이랑 꽃 이파리도 많아야 하지만, 다크한 나무 냄새와 흙냄새가 굉장히 지배적으로 느껴집니다. 편백나무로 만든 가구 냄새라고 하겠습니다. 다른 장르 향이 전혀 느껴지지 않고 나무 냄새에만 집중한 향수 같습니다.",Aesop Hwyl
이솝 로즈,장미가 메인인 향수인데 막상 맡아보면 우리가 일반적으로 알고 있는 장미 향을 잘 느껴지지 않고 우디 향이 더 지배적입니다. 이 향수는 마치 아로마 오일에 푹 절인 장미와 줄기를 나무로 된 용기에 오랫동안 담아놓은 듯한 향입니다. 잔향은 파우더리하기 때문에 부드러우면서도 강렬한 장미 향수입니다.,Aesop Rose
크리드 윈드플라워즈,"이 향수는 화사한 꽃향기가 나긴 하지만 샌달우드의 나무향도 꽤나 느껴지고, 과일향이 막 달달한 과즙향 이런 느낌이 아니라 약간 좀 샤프하게 톡 쏘는 느낌이라서요. 아무것도 모르는 순진한 공주야 이런 이미지로 다가오진 않습니다. 뿌린 직후부터 향이 없어질 때까지 자스민이나 튜베로즈, 오렌지블라썸 등의 화이트 플라워 향이 일관성 있게 쭉 이어지는 향수인데요, 거기에다가 약간 그 누가 캔디 같은 향이 섞였어요. 하얀 색깔 누가가 좀 엿같이 생겼어도 먹어보면 막 끈적이지 않고 되게 깔끔한 단맛이 있는 디저트잖아요. 윈드플라워스에서도 그런 누가의 향이 나는데 그 누가를 녹여가지고 거기에 핑크빛 꽃잎 추출물을 섞어서 스무스하게 문지르는듯한 모습이 연상되는 향이 납니다. 그리고 여기에 약간의 우디향과 톡 쏘는 느낌도 있어서 향이 느끼하지 않아요. 이 향수는 프레시한 플로럴 계열이에요. 촉촉함이랑 보송함이 공존하고 있는 꽃향기고요. 단정하긴 하지만, 약간의 포인트나 파스텔톤의 색감을 즐기는 스타일을 자주 입는 사람이 떠오릅니다. 사회적이고 모던한 이미지일 것 같아요. 항상 자신감있고 자기표현이 확실한 사람이 떠올라요. 여유롭고 안정적으로 향이 전개가 되고 여러 향조들이 막 이리저리 충돌하지 않고 유려하게 흘러간다는 점에서 올리비아 크리드가 의도했던 바람을 타고 움직이는 무용수의 움직임이라는 영감을 좀 후각적으로 잘 구현했다는 생각이 들어요.",Creed Wind Flowers
비디케이 312 생또노레,첫 향은 핑크 페퍼 안젤리카 루트가 톡톡 터지는듯한 느낌이에요. 이런 핑크페퍼 향이 자체 너무 스파이시 해서 향신료 냄새처럼 느껴질 수도 있어요. 달콤한 오렌지 블라섬 향이 들어오고 마치 오렌지 블라썸 꽃을 바닐라 파우더로 곱게 간 느낌이 납니다. 잔향은 트렌디한 무드의 우디 머스크향으로 남아요. 포근하게 깔리는 그런 머스키한 향이라고 생각하시면 될 것 같아요.,Bidikai 312 Saint Honoré
어비어스 뮈스끄,"머스키 플로럴 향으로, 정말 산뜻하고 부담없고 진입 장벽이 낮은 향수라고 생각해요. 이 향은 그냥 좋다가 연발될 수밖에 없고 깨끗하고 약간 공기 같기도 한 느낌이에요. 나는 살냄새가 있다면 딱 이런 향이지 않을까라는 생각이 들어요.",Abyss Musk - Parfums de Marly
비요크 앤 베리스 피얄쇠,처음에 뿌리면 메그놀리아 아던 워터릴리 같은 달콤한 꽃으로 만든 비누 향기가 나요. 스웨덴의 청정 1급수 물로 씻어낸 느낌이죠. 이 향은 깨끗한 물인데 물이 파란 하늘이 비쳐서 살짝 푸른 빛이 넘실거리는 호수 같은 느낌을 표현한 향이에요.,Biork and Beris Pialso - Byredo
도르세 에흐베,"장미 비누의 천상계 같은 향이에요. 장미 비누는 편안하고 익숙하고 살냄새 같다는 장점이 있지만, 이 향은 그 편안함과 안정감을 주되 약간의 생장미 바이브도 있어요. 생장미의 이슬도 촉촉하게 맺혀 있을 것 같고, 살짝의 흙내음과 우디 내음도 함께 느껴져요. 이 향은 사랑하는 연인과 미래를 그릴 때의 설렘을 표현한 향이에요.",Dorse Ehve - Dorse
도르세 지에르,"수선화 꽃을 중심으로 스파이시한 카바몬 향도 나고, 머스키 우디 향도 베이스에 깔려 있어요. 대담한 느낌이 들면서도 약간 절제된 멋스러운 향이라고 생각해요. 꽃다발 중에서도 나뭇가지와 장식된 그런 꽃다발의 느낌이 남녀에게 날법한 향기로 느껴져요.",Dorse Gier - Dorse
모스키노 토이 보이,"키치하고 달달한 바닐라 요런 게 날 줄 알았거든요. 뭐 진흙이 묻어 있는 것 같은 붉은 장미향이랑 톡 쏘는 스파이시 향이 어우러진 향기입니다. 레드 와인 같은 짙은 적색이 떠오르는 장미향이랑 톡 쏘는 냄새가 나는 갈색 향신료 냄새랑 약간의 새콤한 과일 향기 이런 게 되게 복합적으로 나거든요. 어쨌든 그 장미향의 막 눅눅한 진흙을 치덕치덕 바르고 흙 냄새가 나는 날린 과일이랑 나무 냄새가 나는 그런 느낌입니다. 전체적으로 다크하고 좀 분위기 있는 향인데요, 그렇다고 묵직하진 않습니다. 따스한 날씨에 써도 답답하지 않은 듯한 향기예요. 이렇게 우디 스파이시 기반의 플로럴 향을 투박하지 않게 표현한 향수는 대체로 비싼 니치 향수들인데, 가격대비 정말 잘 만들어진 향수라고 생각해요.",Moschino Toy Boy - Moschino
아뜰리에 코롱 러브 오스만투스,"귤의 향이 나고 약간 로디스러운 그런 냄새가 나는 향으로, 방에 퍼진 오렌지 마크 같은 느낌이 있어요. 시트러스 향과 약간의 플로럴 향이 더해져 독특하고 무난한 향으로 느껴집니다.",Atelier Cologne Love Osmanthus - Atelier Cologne
밀러 해리스 미리카 뮤즈,샴페인을 마시면서 딸기도 같이 집어 먹고 있는듯한 그런 기분이 들게 하는 향인 것 같아요.,Miller Harris Mirica Muse - Miller Harris
페일리 곤스 더 댄디,직관적이지만 독하지 않은 위스키 향이랑 멋스러운 우디향이 나는데 탑노트의 라즈베리 베르가못 요런 향조를 덕분에 너무 진지하게 막 분위기를 잡고 있는 느낌이 아니라 그냥 술 한 잔 들고 좋은 느낌?,Paeley Gons The Dandy - Paeley
메모 파리 로즈 파리 로즈,달달한 포도 향이랑 우디향이 섞인 레드 와인이 떠올랐어요. 저 향을 낭만적으로 표현하자면 파리의 예쁜 노상 카페에서 레드 와인을 마시고 있는 모습이 떠오르는 포도 향이라고 할 수 있겠습니다.,Memo Paris Rose Paris Rose - Memo Paris
크리드 버진 아일랜드 워터,톡 쏘는 라임 주스랑 코코넛 크림 말리부 럼 이런 거 넣어서 만든 피나콜라다 같은 향이에요. 근데 그 피나콜라다가 굉장히 고급진 그런 향입니다.,Creed Virgin Island Water - Creed
톰포드 비터 피치,키치하고 섹시한 술에 절여진 복숭아 향입니다.,Tom Ford Bitter Peach - Tom Ford
조보이 파빌리온 루즈,"럼과 위스키 타바코 향에 이끌린 해적의 향이라는 컨셉을 가진 향수인데, 진짜 딱 그 컨셉대로 뭔가 캐리비안의 해적에 나오는 잭스패로 같은 그런 이미지가 떠올라요. 정말 능수능란하고 어딘가 나사 빠져있는 것 같지만 그런 모습이 오히려 매력적이고 익살스럽고 섹시한 사람이 떠오르는 향입니다.",Jovoy Pavilion Rouge - Jovoy
만세라 로얄 바닐라,중동 부자틱한 느낌이 굉장히 많이 납니다. 담배값을 딱 열었을 때 느껴지는 그 특유의 향이랑 럼과 위스키 향 같은게 같이 나는 거 같아요.,Mancera Royal Vanilla - Mancera
부시 더블엑스 러브,"진한 잭콕에다가 달달한 체리 사탕을 가득 녹인 느낌이 들었어요. 되게 농도가 짙은 체리, 위스키 향에다가 약간의 플로럴 향이 더해졌거든요. 전반적으로 향이 강하면서도 키치한 느낌입니다. 키치한 스타일이나 자유로운 파티룩에 잘 어울릴 것 같아요.",Boucheron Double X Love - Boucheron
킬리안 롤링 인 러브,체리와 아몬드로 만든 밀크 캐라멜이 파우더리한 머스크를 만난 느낌.,Kilian Rolling in Love - Kilian
산타마리아노벨라 타바코 토스카나,타바코 향이 되게 고급스럽게 나오면서 많이 달지 않은 바닐라가 부드럽게 싹 감싸 주는 느낌입니다. 입문용 시가를 한 대 피우면서 좋은 집에서 쉬는 느낌을 자아내요.,Santa Maria Novella Tabacco Toscano - Santa Maria Novella
