향수_이름,향수_설명,향수_name
프레데릭 말 포트레이트 오브 레이디,"알게 모르게 존재감 뿜뿜하고 싶을 때 뿌리는 향수 같습니다. 약간 장미 향이 나는데, 많은 사람들이 생각하는 장미가 아닌 느낌입니다. 처음 맡았으면 장미인지 몰랐을 것 같고, 고급스러운 꽃 향이 느껴집니다. 이국적인 장미향이 있고 스파이시하고 스모키한 느낌이 베이스에 깔려 있습니다. 붉은 장미를 향초 사이에 놓아놓은 듯한 느낌이 들어요.",Frederic Malle Portrait of a Lady
에따 리브르 도랑쥬 헤르만,"지하실 냄새 같은 느낌이 나며, 서늘하고 한한 느낌이 있어요. 사람에 비유하자면 너드인데 잘생긴 너드? 옷도 후즐근하게 입었는데 그 모습이 좋아보이는 느낌입니다. 이것처럼 서늘하고 냉기나 한기가 있는 향은 잘 없는 것 같아요. 어두운 동굴에 들어간 느낌, 눅눅하고 위에서 물이 뚝뚝 떨어지는 것 같은 바이브가 느껴집니다.",Etienne de Montille D'Orange Hermès
비디케이 그리 샤르넬,그냥 좋은 향입니다. 그냥 후각적으로 만족되는 향 같아요. 무화과의 달큰한 향인데 관능적이고 도시적이라 더 좋은 것 같아요. 사람의 향을 만끽하고 싶은 느낌이 든다고 해야하나? 그렇습니다. 중성적인 여자가 뿌려도 잘 어울리는 향입니다.,VidiKey Gris Charnel
메종 프란시스 커정 바카라 루즈 540,"얼린 요구르트 뒤로 뜯어먹는 향처럼 달콤한 맛이 느껴지며, 약간의 메탈릭한 쇠 냄새가 살짝 있어요. 이 단내에 약간 트위스트를 줘서 럭셔리하고 고급스러운 느낌을 주며, 과시하지 않는 남자의 이미지가 떠오릅니다. 고급스러운 남자와 잘 어울리는 향입니다. 콰이어트 럭셔리를 추구하는 향 같았어요.",Maison Francis Kurkdjian Baccarat Rouge 540
논픽션 더 베이지,"더 베이지는 소녀같고 청순하고 때 지 않은 느낌이라면 중성적인 우디향이 섞인 플로럴 머스크 향이라서 우리 한국인들이 생각하는 막 티 없이 맑고 예쁜 살 냄새, 첫사랑에서 나던 비누향 요런 거는 솔직히 좀 아니라고 생각했어요. 논픽션다운 세련된 무드입니다. 뿌리자마자 제라늄과 오리스의 따뜻하고 화사한 꽃향기가 포문을 열어요. 단내는 거의 없고 뽀송뽀송하고 파우더리한 플로럴 향이 밀도 없게 느껴집니다. 그러니까 꽃잎만 따서 만든 플로럴 향이라 보다는 꽃의 뿌리까지 다 넣은듯한 향이라서 흑미도우 좀 더스티하다는 뉘앙스까지 받았습니다. 통카빈의 포근함이 잔향까지 남아서 은은하게 지속되는 향이에요. 발향력이 강하진 않아서 라이트하지만 오래 피부에 남아 있는 그런 향을 원하시는 분에게 추천하고 싶습니다.",Nonfiction The Beige
논픽션 더 그레이,"더 그레이는 더 강렬하고 관능적이고 세상의 풍파를 다 겪고 이겨낸 그런 사람이 떠오르는 향이라고 하던데요. 개인적인 선호도로 따지자면 더 그레이가 조금 더 제 취향입니다. 뿌리자마자 시나몬향이 나고 인센스 향이 시작하는데 너무 강하진 않습니다. 미들 노트에는 오스만투스 메그놀리아 같은 플로럴 향기가 포함돼 있는데, 일반적으로 그런 꽃향기가 사용된 향수들은 상콤 달콤함을 느끼거든요. 근데 여기서는 그런 상콤달콤함은 없어요. 확실히 더 우아한 바이브가 있고요. 더 그레이는 약간 서늘하게 절제된 느낌의 머스크 향입니다.",Nonfiction The Grey
줄리엣 헤즈 어 건 엑스 베티버,"베티버 향이 메인인 향수인데, 처음에 뿌렸을 때는 상큼한 시트러스 향과 함께 상쾌한 허브향이 있습니다. 되게 가볍고 깨끗한 오프닝이라 저는 처음에는 크리드 오리지널 베티버 좋아하는 사람이라면 이것도 좋아하겠다 싶었어요. 청량하면서도 자연적인 향으로 포을 엽니다. 시간이 지날수록 꽤나 드라이한 우디향으로 변하더라고요. 처음에 상큼한 레몬 풀 비노 향과는 달리 초록초록한 식물의 뿌리에서 날법한 씁스름한 향이 퍼집니다. 약간 스모키 하다고 느껴질 정도의 우디한 베티버 향이 이어져요.",Juliette Has a Gun X Vetiver
메종 프란시스 커정 아폼,"처음에 뿌리자마자 화한 라벤더 향이 남입니다. 굉장히 풍성하면서도 살짝 꼬릿한 화이트 플라워 향이 나요. 잔향에서 바닐라와 엠버 화이트 마스크에 포근하면서도 달달한 부드러움이 남습니다. 모든 향조 구성들이 되게 직관적이어서 처음에 라벤더 향은 진짜 우리가 익히 알고 있는 라벤더 향이고, 베이스노트의 엠버리 바닐라 머스크 향 역시도 너무 어렵거나 특이하지 않게 조화롭게 마무리가 됩니다.",Maison Francis Kurkdjian A La Rose
불리 레 자뎅 프랑세 오 트리쁠 크레송,"초록초록한 풀 향이 물냉이와 파슬리 향이 조화를 이룬 향인데요. 건강한 음료판은 카페에서 파는 그린 주스 향처럼 신선하고 기분이 좋아지는 느낌입니다. 달달하거나 상큼한 느낌은 없고, 소박한 식물 채소 혹은 초록색의 향신료들의 냄새가 프레시하게 납니다.",Buly 1803 Les Jardins Français au Triple Crème
러쉬 솔티 보디 스프레이,"바다의 침식된 오래된 나무 냄새라고 할 수 있습니다. 상쾌하면서도 짭조름한 우디향이 느껴지며, 약간 죽은 나무 냄새 같은 그런 향으로도 느낄 수 있습니다. 해안가에 강한 파도와 바람에 노출된 풍화된 나무 냄새가 납니다.",Lush Salted Body Spray
로이비 타임 앤 모스,"편백나무 냄새가 훅 나면서 숲속 온천이 떠오르는 스파이시 아로마 향도 섞여 있습니다. 흙 묻은 이끼 냄새도 언뜻 느껴지며, 한국이나 일본의 고즈넉한 사우나에서 날 법한 향으로 느껴집니다. 온몸에 피로가 싹 풀린 듯한 기분을 선사해주는 향입니다.",Loewe Time and Moss
트루사르디 르비디 밀라노 알바수이 나빌리,"시트러스 허브향인데도 지속력이 좋습니다. 상큼한 과일의 느낌이 잘 느껴지는 제품입니다. 풀과 허브의 향도 꽤 많이 나고요, 인공적인 달달함이 아니라 살짝 쌉쌀한 상큼함이 있습니다.",Trussardi Rebelle Milano Albasui Nabili
펜할리곤스 리퀴드 러브,부드럽고 달콤한 장미향이 나는데요 그 속에 스파이시함이 이렇게 쏙쏙 튀어나오는 거 같아요. 이렇게 스파이시한 향신료를 품고 있는 커다란 한 장미 꽃봉오리가 떠오른다까 근데 그 스파이시함이 진짜 우리가 막 고추를 이렇게 반찬으로 먹는듯한 그런 느낌은 아닌 거 같고 장미 꽃이랑 각종 향신료 알싸 허브 이런 것들을 조화롭게 정돈해 둔 느낌입니다. 어 뭔가 채소처럼 아삭하고 그린한 느낌도 분명히 있긴 하지만 거기에 얼시 바이브가 더 해줬고요 뻔한 장미향이 아니라 약간의 트위스트가 있는 장미 향이라서 오히려 저는 더 좋았어요.,Penhaligon's Liquid Love
까사모라티 다마 비앙카,파우더리 바닐라 머스크 계열의 향이에요 근데 막 너무 달거나 숨 막힐 정도로 짙은 파우더 향이 아니라 딱 적절하게 포근하고 적절하게 달콤하다는 게 이 향수의 가장 큰 장점이라고 생각을 합니다. 요걸 처음 딱 뿌렸을 때는 신선한 금귤 향이 나는데요 곧이어서 바로 뽀얗고 풍성한 백합 향기랑 퐁신퐁신 바닐라 머스크 향이 어울어집니다. 그리고 파우더리한 아이리스 꽃향기도 함께 나는데 굉장히 우아한 무드에요.,Casamorati Dama Bianca
발렌티노뷰티 본 인 로마 핑크,상큼하고 톡 쏘는 시트러스 향에서 섞인 자스민 향으로 시작을 해서 부드러운 캐시메랑과 바닐라향 그리고 약간의 우디향으로 마무리되는 향입니다. 핑크빛의 로맨틱한 분위기가 느껴지는 향이에요. 그래서 제가 이 향수를 딱 뿌렸을 때 연상되는 분위기는 이제 막 동이 트기 시작하는 시간에 유럽의 아름다운 주택가를 걷고 있는듯한 모습이었어요. 주변에는 핑크색 꽃들이 화사하게 피어 있고 일출을 연상시키는 부드럽고 따뜻한 빛들이 감싸고 있는듯한 기분이죠. 그래서 이 향수는 낭만적인 성향이 있는 사람이 떠오르는 향이다라고 생각했습니다.,Valentino Beauty Born in Roma Pink
발렌티노뷰티 본 인 로마 핑크 우오모,"쿨한 남자 스킨 향이 나는데요, 산뜻한 바이올린 리프랑 아로마틱한 세일즈향도 같이 느껴집니다. 그리고 잔향에서는 흙냄새 같은 액티브 향이 나와요. 시원한 아쿠아틱 바이브랑 편안한 식물 향이 공존하고 있는 향수기 때문에 언제 어디서든 데일리용으로 사용하기 좋은 향입니다.",Valentino Beauty Born in Roma Pink Uomo
발렌티노뷰티 본 인 로마 옐로우,로마의 첫 번째 햇살을 담은 향기에요. 피온이 장미 등의 가볍고 이지한 꽃향기랑 캐주얼한 화이트 머스크향에 어우러져서 전반적으로 부담없이 데일리하게 즐길 수 있는 달콤한 플로럴 머스크향입니다. 저는 이 향을 맡았을 때 도심 한복판에 있는 고급스러운 호텔에 수영장에 가서 휴식을 취하고 있는 모습이 연상됐어요. 컬러풀한 옷이나 수영복을 입고 따뜻한 태양을 느끼면서 선탠을 하는듯한 여유롭고 기분 좋은 향기입니다.,Valentino Beauty Born in Roma Yellow
발렌티노뷰티 본 인 로마 옐로우 우오모,"기분 좋은 달콤함이 느껴지는 향수예요. 시나몬 비스킷이 연상되는 스파이시한 바닐라 향이 나는데요, 그와는 대조적인 프레쉬하고 서늘한 플로럴 라벤더 향이 공존하고 있어서 매력적입니다.",Valentino Beauty Born in Roma Yellow Uomo
발렌티노뷰티 본 인 로마 코랄,"입에 침이 고일만큼 새콤한 과일향이 풍성하게 퍼집니다. 잘 익은 오렌지랑 키위를 입안 가득 베어본듯한 신선한 향이 저를 반갑게 맞이해주는 거 같더라고요. 그리고 이어서 소프트한 장미와 자스민, 암브레트 시드 향이 하트노트와 잔향에 머물러서 부드러운 생기 발랄함을 느낄 수 있는 플로럴 프리티 계열의 향수입니다.",Valentino Beauty Born in Roma Coral
발렌티노뷰티 본 인 로마 코랄 우오모,레드애플과 세이지 제라늄의 스파이시한 향 그리고 타바코 패출리향의 조화를 이루는 향이에요. 알싸한 향신료로 만들어진 시럽의 절인 붉은 사과가 있다면 딱 이런 향이겠다라는 생각이 드는 향으로 포문을 열고요. 우디하고 스모키한 타바코향이 오래 남는 향수입니다. 성숙하면서 관능리 넘치는 남성을 떠올리게 하는 향인데요.,Valentino Beauty Born in Roma Coral Uomo
조보이 파빌리온 로즈,구어망드의 달콤함이 있으면서 그와는 아주 정반대인 좀 거칠고 다한 이미지의 타바코 향이 나면서도 살짝 외국인한테서 날 것 같아라는 생각이 들면서도 곱게 막 온실속 화초처럼 잘하는 사람이 아니라 산전수전 다 겪든 사람에게서 날 거 같은 그런 이미지의 향을 되게 좋아하는데 정확히 이거 아니에요 정말 좋아하는데 정확히 이거 아니에요 정말 스토리가 있는 타바코는 하셨지만 저는 스토리가 있는 타바코는 하셨지만 저는 좀 부드러운 타바코 향이 났거든요 맞아요 사실 타바코 향이 좀 자칫 너무 매개하고 무거워서 이게 내 몸에 입기에 부담스러운 향으로 발현되기 쉬운 향 조데시 향을 좋아한다면 정말 어렵지 않게 소화할 수 있는 그런 향으로 조연이 돼서 너무 좋았고 이 컨셉트 자체도 저는 참 마음에 들었던게 컨셉이 뭐냐면은 두려움이 없는 해적에서 이제 영감을 받아서 만드는 스타일이라서 진짜 이 컨셉에서 터 이미 내 심장을 지고 흔들었다 처음에 딱 뿌렸을 때는 위스키 향 같은게 살짝 지나가요 그러다가 타바코 향이 훅 나는데 정말 질좋은 시가를 이렇게 좀 피우다가 그 질좋은 시가를 이렇게 좀 피우다가 그 씨가 이렇게 막 이렇게 뭉갠 것처럼 그런 향기가 훅 납니다 그리고 거기에다가 더 재밌는 거는 약간 커피 원두 냄새가 나요 약간 씁쓸하면서도 고소하고 향긋한 그 커피 원두 냄새가 퍼지아요 맞아맞아 그 향기도 살짝 섞였고 거기에 우디 양도 많이 나고 바닐라 양도 살짝 섞였는데 정말 살짝 어 근데 바닐라 과하지 않죠 그냥 부드러워요 뭔가 담백한 바닐라 느낌 달콤한 바닐라가 아니고 단백한 바닐라 향이나요 맞아 아니 단향이 강하지 않아서 바닐라라구 캐라멜 갖고 이런 거는 전혀 아닙니다 나무향 그리고 타바코 향 약간의 커피 원두 그리고 약간의 위스키 이게 섞인 향이라서 저는 이걸 맡으면 어떤 이미지가 떠오르냐 진짜 해적 같아요,Jo Boy Pavilion Rose - Jo Boy
조보이 리멤버 미,은은하게 또 격식 있게 여러분들이 사용하실 수 있는 제품이다 생각이 들고요 아 미지 님한테 나 이 얘기 듣고 계속 그 향 밖에 안 느껴져요 그 향 아니 이거 뿌리다가 아 이거 완전 차이티 향 나지 않아 이러시는 거예요 그 제가 어머 맞네 해가지고 그때부터 계속 이미지가 차이티 밖에 안 생각이 안 들어 차이티 라떼 같은 경우는 말 그대로 라떼고 색상 자체가 좀 브라운 기억이아요 맞 티럴 한 느낌 그래서 어디에 뿌리면 좋을 것 같다는 이미지까지 확실히 연상이 되더라고이 헤링본 자켓을 입고 그 위에다가 얘 헤링본 자켓을 입고 그 위에다가 얘 한번 칙 뿌려주면 어 뭐 활용 정점 느낌 맞 오늘 소봉 님의 옷이 진짜이 느낌 맞 오늘 소봉 님의 옷이 진짜이 느낌 약간 요런 느낌 아 진짜 잘 어울려 여기에서 이제 안경 한번 끼워주면 너무 좋 같아서,Jo Boy Remember Me - Jo Boy
카너 바르셀로나 드라곤,딱 뿌리면 되게 스파이시한 그 블랙 페퍼 향이 확 나거든요 근데 그 모습이 마치 정말 우리가 영화 속에 나오는 용이 막 불을 뿜으면서 막 이렇게 힘차게 움직이는듯한 그런 모습을 연상케 할 정도로 굉장히 강렬하고 뭔 화르륵 타오르는듯한 그런 느낌으로 블랙 페퍼 향이 확 나다가 뒤로 갈수록 신선한 편백나무 향도 나고요 잔향은 조금 더 차분한 우디향으로 남아요 근데 이 우디 양도 뭔가 그런 거 있죠 영화에 보면은 꼭 용들이 오래된 성을 지키는 거 뭔가 꼭 그런 성은 되게 오래된 나무로 이렇게 지어졌나요 그런 영화 속이나 신화 속에 나오는 오래된 나무 성에서 날법한 향이에요,CARNER Barcelona Dragon - CARNER Barcelona
카너 바르셀로나 볼케이노,뿌리자마자 아 굉장히 성숙한 향이다 고혹적인 향이다 섹시한 향이다 생각을 했거든요 그래서 얘는 여러분들이 평소에 아무렇게나 캐주얼할 때 뿌리시고 보다도 파티가 있는 날 뿌리시고 가시면 굉장히 나의 독보적인 섹시한 이미지 그리고 고혹적인 이미지를 보여 드릴 수 있을 것 같아요 날카로운 장미향이 나면서 좀 이렇게 흙이 섞인듯한 그런 느낌이라서 이수에서 어필하는 장음 양은 뭔가 레드립 이렇게 딱 바르고 가면 너무 잘 오릴 것 같은 이게 중성적이다 그면 중성적이 수 있는데 중성적이다 그면 중성적이 수 있는데 중성적이다 그면 중성적이 수 있는데 블랙 원피스인데 이렇게 몸에 실루엣이 다 드러나는 그런 옷차림에도 잘 어울릴 것 같고 저는 파티에 어울릴 거 같은 향이다,CARNER Barcelona Volcano - CARNER Barcelona
카너 바르셀로나 베소스,무디한 향 그리고 가죽 향을 굉장히 좋아하거든요 근데 이상하게 이렇게 포근하고 바닐라 틱하게 파우더리한 향이 좀 많이 손이 가더라고요 취향이 달라진 걸 수도 있고 아니면 계절을 타는 걸 수도 있는데 요즘에는 저는 가장 비율적으로 많이 사용하는게 배소 스인 거 같아요 뭔가 방금 세탁하고 나온듯한 그런 옷에서 나는 향인데 그게 결코 막 저렴한 향이 아니고 고급진 섬유연제 냄새 신기하게 이게 쿨한데 따뜻해요 쿨한데 따뜻해요 옷 착장이라 장소에 구해 받지 않고 어디서든 뿌려도 부담없이 사용하실 수 있는 제품인 거 같아요,CARNER Barcelona Besos - CARNER Barcelona
퍼퓸 드 엠파이어 오스만투스 앙테르디트,산뜻하고 프레쉬한 느낌입니다 와 이거는 진짜 한마디로 표현할 수 있어요 살구가 가득 빠진 녹차 어 수 있어요 살구를 손에 막 한 가득 쥐었을 때 날법한 그 달콤한 복숭아 살고 이 향면 그에 은은하게 맑은 녹차향이 깔려져 있어요 그리고 그 외에 약간 자스민 향도 섞여 있거든요 되게 고급 음식점 가면은 그 자스민 티 같은 거 나오잖아요 그런 자스민 티 향 같기도 하고 어떻게 자스민 티 향 같기도 하고 어떻게 맞으면 녹차향 같기도 하고,Perfume de Empire Osmanthus Interdit - Perfume de Empire
제르조프 알렉산드리아2,"이 양수를 딱 뿌렸을 때 처음 그려지는 이미지는 숲속에 있는 신선한 라벤더 밭에서 청사과를 먹고 있는듯한 모습이었어요. 그만큼 아로마틱 하고 달콤한 향이 로즈우드 시더우드 오우드 향과 함께 섞여서 납니다. 그리고 잔향은 엠버 우디 바닐라의 포근한 향으로 마무리가 돼요. 전반적인 향이 굉장히 깊이 있고 안정적입니다. 유럽의 유서깊은 5성급 호텔의 복도에서 이런 향이 나을 것 같다는 생각을 했어요. 특유의 기품 있는 우디향이 연상이 되면서도 굉장히 멋스러운 유럽 피안이 탁 풍길 법한 달콤하고 향긋한 아로마향도 있고, 호텔 복도를 걸을 때의 그 편안하고 부드러운 무드까지 있거든요. 우디 파우더리 프루티 아로마틱 스파이시 등등 정말 다채로운 장르의 향조가 존재하고 있는 향수인데요, 그럼에도 전혀 과하지 않고 오묘하고 절묘한 조화를 이루고 있다라는 점이 정말 인상적입니다.",Xerjoff Alexandria II - Xerjoff
제르조프 니오,"스파클링하고 반짝이는 밝은 기운을 느낄 수 있는 향입니다. 상큼한 시트러스 향이랑 네롤리 향이 톡톡튀는 로즈페퍼 넛맥 등의 향과 섞여서 포문을 여는데요. 그런데 그냥 단순한 시트러스가 아니라 푸릇한 녹색 이파리와 흙향, 그리고 잔향에서 우디 향도 섞여 있어 가지고 정말 자연적이고 고급스럽습니다. 마치 내가 갑자기 되게 부자가 돼 가지고 이태리에 막 지중해 연한 어딘가에 텃밭을 하나 샀어 그래서 거기에서 레몬 트리를 하나 이렇게 애지중지 키운다면 딱 이런 향이 날 것 같아요. 비옥한 흙의 향, 볕을 가득 받고 자란 레몬트리의 상큼한 과육 향 그리고 나무의 향까지 느껴지는 향수입니다. 이 향수는 뭔가 캐주얼한 모임이나 친한 친구들이 모이는 자리에서 잘 어울릴 것 같아요. 향이 과하지 않으면서도 딱 주목을 받을 수 있을 법한 향이죠.",Xerjoff Nio - Xerjoff
제르조프 에르바 퓨라,"오렌지나 레몬 같은 시트러스 과일을 비롯해서 여러 가지 프루티 향이 느껴지는데요. 저한테는 이 과일향이 약간 망고 향처럼 느껴지기도 하고 파인애플이나 라즈베리, 복숭아 요런 말랑말랑하고 상콤 달콤한 과일들이 그려지기도 해요. 정말 당도 높고 잘 익어 가지고 과일이 쭈르륵 흐르는 그런 느낌이죠. 그리고 잔향은 솜털처럼 부드러운 바닐라 머스크 엠버 향으로 깔끔하게 마무리됩니다. 연말 연시에 여행이나 휴가를 떠날 계획이 있는 분들에게 정말 추천하고 싶은 향수고, 아니면은 내가 꼭 어디론가 떠나지 않아도 이 향수를 딱 뿌리면 한 해를 잘 마무리한 나한테 달콤한 휴식을 선사하는 그런 기분이 들 것 같습니다.",Xerjoff Erba Pura - Xerjoff
제르조프 아폴로니아,달빛 아래에서 데이트하는 내 연인에게서 날법한 화이트 머스크 향이다. 그만큼 이게 되게 섬세한 플라워 향이랑 매혹적인 밤의 분위기를 연출하고 있는 향이죠.,Xerjoff Apollonia - Xerjoff
디올 자도르 로르,"자도르 로르가 오리지널 자도르와 크게 다르지 않더라고요. 오리지널 자도르와 향이 되게 비슷합니다. 솔직히 말하자면은 엄청 개성 있고 독특하다고 느껴지지도 않았거든요. 자도르 뭐 일랑일랑 자스민 로즈 이런 전 세계의 온갖 아름다운 꽃들을 가득 모은 부캐 향에다 풍부한 프루트 향이 더해진 향입니다. 특정 향조가 도드라지지 않고 정말 많은 수십 가지 꽃들이 다채롭게 사용됐는데 그 향이 너무 강하지 않고 그 많은 향 조들이 매끈하게 밸런스를 이루고 있다는 점에서 많은 호평을 받았죠. 자도르 로르의 노트인 자스민이랑 센티폴리아 로즈, 은방울꽃, 바이올렛 정도만 간결하게 남겨 두자 요렇게 단순하고 미니멀하게 노트를 다듬되, 대신에 그 몇 안 되는 노트를 다듬되, 그 꽃향기는 더 선명하게 극대화 하자 이렇게 생각을 하고 만든 향수라고 할 수 있죠.",Dior J'adore L'Or - Dior
딥티크 탐다오,"사찰에 갔을 때 나는 편안한 향기, 약간 히노끼탕의 편안한 향기, 편백나무 냄새 같고 처음에는 겨울나무 같은 느낌입니다. 끝향이 포근하고, 묵직한 느낌, 무뚝뚝할 수 있는 느낌이지만 사랑하는 사람한테는 엄청 따뜻한 느낌입니다.",Diptyque Tam Dao - Diptyque
딥티크 플레르드 뽀,"앤티크와 목재가구 둘러싸여 있는 호텔에 깨끗하고 포근한 친구의 향으로 느껴지거든요. 미모사 꽃향기가 꽤 많이 나거든요. 저한테는 좀 향기나는 색종이 같고, 튤립을 연상하게 만 되기도 했습니다. 때로는 색종이 냄새 혹은 크레파스 향 같다라고 느껴지거든요. 크레파스스러운 꽃향기가 살짝 있으니까 구수한 향으로 느껴지더라고요. 구수한 누룽지가 그려지지 이런 생각을 했는데, 나중에 보니까 이 향수에 라이스 어코드가 사용이 됐더라고요. 그래서 고소한 국물의 느낌을 받은 것 같습니다.",Diptyque Fleur de Peau - Diptyque
딥티크 오르페옹,"오래된 목재 장식 있는 bar에서 날법한 우디 향도 나고, 아주 멋스럽게 꾸민 예술가들 테서 날법한 중성적인 파우더링 향도 포근하게 납니다. 진짜 중독성 있고 멋진 향이라서 저도 좋아하고 많은 분들에게 인기가 있기도 한 향이에요.",Diptyque Orphéon - Diptyque
딥티크 플레르드뽀,톡소는 후추 향을 뺀 느낌이 우르 PE 같다라는 생각이 들 정도로 닮은 부분이 있는 향수입니다.,Diptyque Fleur de Peau - Diptyque
딥티크 로파 피에,종이 공방의 향입니다. 목수 공방의 향 막 나무껍질 벗겨 가지고 종이 향이 날법한 그런 느낌에다가 은은한 미모사 꽃향기가 섞여 있는 향처럼 느껴지는 제품입니다.,Diptyque L'Eau de Paille - Diptyque
매종 크리밸리 상탈 볼케니크,진짜 화산이 폭발하고 나서의 화산재 새빨간 불꽃 요런게 연상되는 스파이시 향이랑 우디향 그리고 커피 원두향이 나는 그 원두향이 되게 이색적이면서도 좋더라고요.,Maison Crivelli Santal Volcanique - Maison Crivelli
불리 세드르 디 리방,나무로 지어진듯한 어둑어둑한 교회에 들어갔을 때의 그 교회 냄새 혹은 성당 냄새에 바닐라 파우더를 살짝 뿌린듯한 느낌의 향입니다.,Buly 1803 Cedre de Liban - Buly 1803
논픽션 포레스트,숲속에 온천에 간듯한 느낌의 향이에요. 온천에 약간의 유자를 띄운 느낌? 히노끼탕 냄새에 한 꼬집의 유자향이 섞인 느낌입니다.,Nonfiction Forest - Nonfiction
